t,y
Apr-00,137.95
May-00,129.95
Jun-00,123.51
Jul-00,123.28
Aug-00,123.97
Sep-00,124.68
Oct-00,110.52
Nov-00,134.18
Dec-00,126.61
Jan-01,141
Feb-01,163.51
Mar-01,163.32
Apr-01,136.18
May-01,96.05
Jun-01,123.24
Jul-01,119.42
Aug-01,109.23
Sep-01,99.94
Oct-01,142.34
Nov-01,95.94
Dec-01,90.44
Jan-02,105.77
Feb-02,110.72
Mar-02,123.59
Apr-02,148.44
May-02,177.88
Jun-02,129.99
Jul-02,118.62
Aug-02,132.59
Sep-02,121.42
Oct-02,142.2
Nov-02,126.62
Dec-02,107.91
Jan-03,135.11
Feb-03,110.45
Mar-03,128.65
Apr-03,117.94
May-03,110.75
Jun-03,106.18
Jul-03,104.54
Aug-03,93.8
Sep-03,122.46
Oct-03,131.32
Nov-03,129.9
Dec-03,163.96
Jan-04,119.06
Feb-04,104.83
Mar-04,223.73
Apr-04,152.74
May-04,156.13
Jun-04,167.17
Jul-04,166.81
Aug-04,149.59
Sep-04,158.54
Oct-04,135.19
Nov-04,148.11
Dec-04,143.66
Jan-05,143
Feb-05,162.24
Mar-05,189.11
Apr-05,166.77
May-05,162.09
Jun-05,162.19
Jul-05,160.79
Aug-05,175.06
Sep-05,178.36
Oct-05,187.73
Nov-05,160.29
Dec-05,192.91
Jan-06,169.11
Feb-06,176.98
Mar-06,221.39
Apr-06,187.32
May-06,222.72
Jun-06,232.33
Jul-06,235.4
Aug-06,267.57
Sep-06,272.59
Oct-06,245.04
Nov-06,292.45
Dec-06,256.74
Jan-07,248.55
Feb-07,288.91
Mar-07,402.35
Apr-07,301.69
May-07,296.14
Jun-07,308.73
Jul-07,364.32
Aug-07,492.92
Sep-07,469.99
Oct-07,482.6
Nov-07,393.73
Dec-07,328.33
Jan-08,405.7
Feb-08,433.55
Mar-08,534.15
Apr-08,545.33
May-08,639.01
Jun-08,574.22
Jul-08,606.75
Aug-08,459.89
Sep-08,474.8
Oct-08,533.06
Nov-08,498.76
Dec-08,470.31
Jan-09,522.59
Feb-09,471.44
Mar-09,542.26
Apr-09,453.56
May-09,413.18
Jun-09,442.95
Jul-09,566.81
Aug-09,461.79
Sep-09,480.95
Oct-09,602.61
Nov-09,562.47
Dec-09,511.71
Jan-10,487.69
Feb-10,532.03
Mar-10,624.5
Apr-10,610.1
May-10,574.27
Jun-10,541.15
Jul-10,656.41
Aug-10,543.28
Sep-10,620.14
Oct-10,647.18
Nov-10,745.11
Dec-10,771.52
Jan-11,685.84
Feb-11,723.09
Mar-11,746.58
Apr-11,758.45
May-11,890.1
Jun-11,876.86
Jul-11,1007.94
Aug-11,1222.66
Sep-11,1248.52
Oct-11,1266.68
Nov-11,1160.27
Dec-11,1256.98
Jan-12,1071.73
